node_id,lemma,pos,surface_word,gloss,component,is_seed,seed_method,candidate_seed_id,layer,degree_score,outdegree,indegree,frequency,age_of_acquisition,concreteness,source_label
s::n,s,n,s,an abundant tasteless odorless multivalent nonmetallic element; best...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,271,256,15,7.316033195866643,,,s [n] :: an abundant tasteless odorless multivalent nonmetallic element; best...
do::n,do,n,do,doctor's degree in osteopathy,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,210,208,2,6.787261912174824,3.6,2.46,do [n] :: doctor's degree in osteopathy
do::v,do,v,do,engage in,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,98,97,1,6.787261912174824,3.6,2.46,do [v] :: engage in
no::n,no,n,no,a radioactive transuranic element synthesized by bombarding curium wi...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,498,493,5,6.7754927459819,2.715564,2.45,no [n] :: a radioactive transuranic element synthesized by bombarding curium wi...
no::a,no,a,no,(quantifier) used with either mass nouns or plural count nouns for in...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,259,252,7,6.7754927459819,2.715564,2.45,no [a] :: (quantifier) used with either mass nouns or plural count nouns for in...
can::n,can,n,can,airtight sealed metal container for food or drink or paint etc.,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,1795,1788,7,6.719354331308571,4.32,4.55,can [n] :: airtight sealed metal container for food or drink or paint etc.
can::v,can,v,can,preserve in a can or tin,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,7,4,3,6.719354331308571,4.32,4.55,can [v] :: preserve in a can or tin
all::a,all,a,all,(quantifier) used with either mass or count nouns to indicate the who...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,70,66,4,6.712212420338913,4.239515000000001,2.27,all [a] :: (quantifier) used with either mass or count nouns to indicate the who...
get::n,get,n,get,a return on a shot that seemed impossible to reach and would normally...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,74,67,7,6.66062849230587,3.17,2.38,get [n] :: a return on a shot that seemed impossible to reach and would normally...
here::a,here,a,here,being here now,core,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,2,1,1,6.655049247524397,3.738636,3.13,here [a] :: being here now
so::n,so,n,so,the syllable naming the fifth (dominant) note of any musical scale in...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,414,407,7,6.627197751579461,5.14536,1.42,so [n] :: the syllable naming the fifth (dominant) note of any musical scale in...
right::n,right,n,right,an abstract idea of that which is due to a person or governmental bod...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,297,289,8,6.602376646359637,4.346085,3.47,right [n] :: an abstract idea of that which is due to a person or governmental bod...
right::a,right,a,right,being or located on or directed toward the side of the body to the ea...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,64,58,6,6.602376646359637,4.346085,3.47,right [a] :: being or located on or directed toward the side of the body to the ea...
like::v,like,v,like,"to hope, to desire or to prefer to have something, or to do something",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,101,97,4,6.601353592943822,3.6853510000000003,1.89,"like [v] :: to hope, to desire or to prefer to have something, or to do something"
out::n,out,n,out,(baseball) a failure by a batter or runner to reach a base safely in...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,414,407,7,6.586591270205694,3.280385,2.73,out [n] :: (baseball) a failure by a batter or runner to reach a base safely in...
out::a,out,a,out,not allowed to continue to bat or run,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,124,123,1,6.586591270205694,3.280385,2.73,out [a] :: not allowed to continue to bat or run
out::v,out,v,out,to state openly and publicly one's homosexuality,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,53,50,3,6.586591270205694,3.280385,2.73,out [v] :: to state openly and publicly one's homosexuality
go::v,go,v,go,"change location; move, travel, or proceed, also metaphorically",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,80,73,7,6.578393896124764,3.37,3.15,"go [v] :: change location; move, travel, or proceed, also metaphorically"
up::a,up,a,up,being or moving higher in position or greater in some value; being ab...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,74,68,6,6.564072702809289,2.918047,3.83,up [a] :: being or moving higher in position or greater in some value; being ab...
come::v,come,v,come,"move toward, travel toward something or somebody or approach somethin...",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,81,78,3,6.496472254640901,3.32,2.72,"come [v] :: move toward, travel toward something or somebody or approach somethin..."
well::n,well,n,well,a deep hole or shaft dug or drilled to obtain water or oil or gas or...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,237,227,10,6.475172328433664,6.157775000000001,3.33,well [n] :: a deep hole or shaft dug or drilled to obtain water or oil or gas or...
well::r,well,r,well,(often used as a combining form) in a good or proper or satisfactory...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,17,9,8,6.475172328433664,6.157775000000001,3.33,well [r] :: (often used as a combining form) in a good or proper or satisfactory...
want::v,want,v,want,feel or have a desire for; want strongly,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,6,2,4,6.4401868823515045,4.16,1.93,want [v] :: feel or have a desire for; want strongly
good::a,good,a,good,having desirable or positive qualities especially those suitable for...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,90,85,5,6.4160709261850934,3.55,1.64,good [a] :: having desirable or positive qualities especially those suitable for...
good::r,good,r,good,(often used as a combining form) in a good or proper or satisfactory...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,12,4,8,6.4160709261850934,3.55,1.64,good [r] :: (often used as a combining form) in a good or proper or satisfactory...
let::n,let,n,let,a brutal terrorist group active in Kashmir; fights against India with...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,18,10,8,6.383085947944817,4.53,2.26,let [n] :: a brutal terrorist group active in Kashmir; fights against India with...
will::n,will,n,will,the capability of conscious choice and decision and intention,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,318,313,5,6.326490668604775,7.53,2.64,will [n] :: the capability of conscious choice and decision and intention
back::n,back,n,back,the posterior part of a human (or animal) body from the neck to the e...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,481,473,8,6.302422401748658,5.3052150000000005,4.33,back [n] :: the posterior part of a human (or animal) body from the neck to the e...
back::a,back,a,back,related to or located at the back,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,52,49,3,6.302422401748658,5.3052150000000005,4.33,back [a] :: related to or located at the back
time::n,time,n,time,an instance or single occasion for some event,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,852,848,4,6.29136050297892,5.16,3.07,time [n] :: an instance or single occasion for some event
time::v,time,v,time,measure the time or duration of an event or action or the person who...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,108,102,6,6.29136050297892,5.16,3.07,time [v] :: measure the time or duration of an event or action or the person who...
look::v,look,v,look,perceive with attention; direct one's gaze towards; look,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,63,58,5,6.288835870185782,4.05,2.96,look [v] :: perceive with attention; direct one's gaze towards; look
take::v,take,v,take,carry out,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,171,170,1,6.276109356519957,4.37,3.06,take [v] :: carry out
tell::n,tell,n,tell,a Swiss patriot who lived in the early 14th century and who was renow...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,32,15,17,6.23606998593794,4.26,2.9,tell [n] :: a Swiss patriot who lived in the early 14th century and who was renow...
down::n,down,n,down,English physician who first described Down's syndrome (1828-1896),satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,282,277,5,6.172676305490812,4.93222,3.52,down [n] :: English physician who first described Down's syndrome (1828-1896)
down::a,down,a,down,being or moving lower in position or less in some value,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,48,45,3,6.172676305490812,4.93222,3.52,down [a] :: being or moving lower in position or less in some value
make::v,make,v,make,engage in,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,1043,1042,1,6.141720156407864,4.68,2.67,make [v] :: engage in
make::n,make,n,make,a recognizable kind,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,389,388,1,6.141720156407864,4.68,2.67,make [n] :: a recognizable kind
over::n,over,n,over,(cricket) the division of play during which six balls are bowled at t...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,748,740,8,6.121067135292526,5.571640000000001,2.46,over [n] :: (cricket) the division of play during which six balls are bowled at t...
more::n,more,n,more,English statesman who opposed Henry VIII's divorce from Catherine of...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,700,691,9,6.112882339773854,3.781264,2.37,more [n] :: English statesman who opposed Henry VIII's divorce from Catherine of...
more::a,more,a,more,(comparative of ‘much’ used with mass nouns) a quantifier meaning gre...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,96,85,11,6.112882339773854,3.781264,2.37,more [a] :: (comparative of ‘much’ used with mass nouns) a quantifier meaning gre...
more::r,more,r,more,"used to form the comparative of some adjectives and adverbs, indicate...",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,29,27,2,6.112882339773854,3.781264,2.37,"more [r] :: used to form the comparative of some adjectives and adverbs, indicate..."
need::n,need,n,need,a condition requiring relief,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,64,62,2,6.111647782919253,3.56,1.69,need [n] :: a condition requiring relief
mean::v,mean,v,mean,mean or intend to express or convey,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,6,2,4,6.094224698597197,4.0,2.5,mean [v] :: mean or intend to express or convey
very::a,very,a,very,precisely as stated,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,183,181,2,6.093272155268496,4.900249000000001,1.43,very [a] :: precisely as stated
give::v,give,v,give,"cause to have, in the abstract sense or physical sense",satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,217,213,4,6.066788831224598,4.28,2.83,"give [v] :: cause to have, in the abstract sense or physical sense"
give::n,give,n,give,the elasticity of something that can be stretched and returns to its...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,127,122,5,6.066788831224598,4.28,2.83,give [n] :: the elasticity of something that can be stretched and returns to its...
sure::r,sure,r,sure,definitely or positively (‘sure’ is sometimes used informally for ‘su...,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,11,6,5,6.040735067507489,4.85,1.73,sure [r] :: definitely or positively (‘sure’ is sometimes used informally for ‘su...
thing::n,thing,n,thing,a special situation,satellite,true,exact-small-greedy,exact-small-greedy:n5044:r0,0,174,172,2,6.036307065878121,4.58,3.17,thing [n] :: a special situation
