sense_key,lemma_or_redacted,pos,gloss_or_elided,gold_lexicality,stratum,notes
oewn-i__1.27.00..,I,n,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks),chemical,short_seed,gloss: chemical substance/element cue
oewn-v__1.23.02..,V,n,the cardinal number that is the sum of four and one,symbol-code,short_seed,single-character lemma
oewn-n__1.23.00..,N,n,(of a solution) concentration expressed in gram equivalents of solute per liter,symbol-code,short_seed,single-character lemma
oewn-l__1.23.06..,L,n,the cardinal number that is the product of ten and five,symbol-code,short_seed,single-character lemma
oewn-do__2.38.00..,do,v,travel or traverse (a distance),lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-be__2.42.06..,be,v,be identical to; be someone or something,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-w__1.23.00..,W,n,a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm,symbol-code,short_seed,single-character lemma
oewn-v__1.10.00..,V,n,the 22nd letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-ai__1.09.00..,AI,n,the branch of computer science that deal with writing computer programs that can solve problems creatively,symbol-code,short_seed,short upper/mixed-case token (code)
oewn-s__1.10.01..,s,n,the 19th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-s__1.24.00..,S,n,the cardinal compass point that is at 180 degrees,symbol-code,short_seed,single-character lemma
oewn-w__1.10.00..,W,n,the 23rd letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-ax__1.06.00..,ax,n,an edge tool with a heavy bladed head mounted across a handle,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-g__1.10.00..,G,n,the 7th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-b__1.10.01..,b,n,the 2nd letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-z__1.10.00..,Z,n,the 26th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-e__1.24.00..,E,n,the cardinal compass point that is at 90 degrees,symbol-code,short_seed,single-character lemma
oewn-be__2.42.09..,be,v,be priced at,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-b__1.08.00..,B,n,the blood group whose red cells carry the B antigen,symbol-code,short_seed,single-character lemma
oewn-b__1.23.00..,b,n,(physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter,symbol-code,short_seed,single-character lemma
oewn-ph__1.07.00..,pH,n,(from potential of Hydrogen) the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter; provides a measure on a scale from 0 to 14 of the acidity or alkalinity of a solution (where 7 is neutral and greater than 7 is more basic and less than 7 is more acidic),symbol-code,short_seed,short upper/mixed-case token (code)
oewn-be__2.42.01..,be,v,"have life, be alive",lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-z__1.11.00..,Z,n,the ending of a series or sequence,symbol-code,short_seed,single-character lemma
oewn-th__1.28.00..,Th,n,the fifth day of the week; the fourth working day,symbol-code,short_seed,"short titlecase token, not whitelisted"
oewn-axe__1.06.00..,axe,n,an edge tool with a heavy bladed head mounted across a handle,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-v__5.00.00.cardinal.00,v,a,being one more than four,symbol-code,short_seed,single-character lemma
oewn-t__1.23.01..,t,n,a unit of weight equivalent to 1000 kilograms,symbol-code,short_seed,single-character lemma
oewn-g__1.10.01..,g,n,the 7th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-am__4.02.05..,AM,r,before 12 noon,symbol-code,short_seed,short upper/mixed-case token (code)
oewn-h__1.23.00..,H,n,a unit of inductance in which an induced electromotive force of one volt is produced when the current is varied at the rate of one ampere per second,symbol-code,short_seed,single-character lemma
oewn-am__4.02.04..,am,r,before 12 noon,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-m__5.00.00.cardinal.00,m,a,"denoting a quantity consisting of 1,000 items or units",symbol-code,short_seed,single-character lemma
oewn-v__1.27.00..,V,n,a soft silvery white toxic metallic element used in steel alloys; it occurs in several complex minerals including carnotite and vanadinite,chemical,short_seed,gloss: chemical substance/element cue
oewn-no__1.10.00..,no,n,a negative,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-k__1.23.05..,K,n,the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites,symbol-code,short_seed,single-character lemma
oewn-be__1.27.00..,Be,n,a light strong brittle grey toxic bivalent metallic element,chemical,short_seed,gloss: chemical substance/element cue
oewn-no__3.00.00..,no,a,(quantifier) used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-pm__1.10.00..,PM,n,modulation of the phase of the carrier wave,symbol-code,short_seed,short upper/mixed-case token (code)
oewn-s__1.10.00..,S,n,the 19th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-v__1.23.00..,V,n,a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it,symbol-code,short_seed,single-character lemma
oewn-h__1.10.01..,h,n,the 8th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-x__5.00.00.cardinal.00,x,a,being one more than nine,symbol-code,short_seed,single-character lemma
oewn-pm__1.04.00..,PM,n,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,symbol-code,short_seed,short upper/mixed-case token (code)
oewn-ce__4.02.00..,CE,r,of the period coinciding with the Christian era; preferred by some writers who are not Christians,symbol-code,short_seed,short upper/mixed-case token (code)
oewn-l__1.23.00..,l,n,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)",symbol-code,short_seed,single-character lemma
oewn-w__1.10.01..,w,n,the 23rd letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-m__1.10.00..,M,n,the 13th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-do__2.29.04..,do,v,arrange attractively,lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-k__1.06.00..,K,n,street names for ketamine,symbol-code,short_seed,single-character lemma
oewn-k__1.27.00..,K,n,a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite,chemical,short_seed,gloss: chemical substance/element cue
oewn-u__1.27.00..,U,n,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons,chemical,short_seed,gloss: chemical substance/element cue
oewn-b__1.27.00..,B,n,a trivalent metalloid element; occurs both in a hard black crystal and in the form of a yellow or brown powder,symbol-code,short_seed,single-character lemma
oewn-do__2.36.02..,do,v,"give rise to; cause to happen or occur, not always intentionally",lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-m__1.23.00..,m,n,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards),symbol-code,short_seed,single-character lemma
oewn-g__1.23.03..,G,n,"a unit of information equal to 1000 megabytes or 10^9 (1,000,000,000) bytes",symbol-code,short_seed,single-character lemma
oewn-t__1.27.01..,T,n,a base found in DNA (but not in RNA) and derived from pyrimidine; pairs with adenine,symbol-code,short_seed,single-character lemma
oewn-b__1.27.01..,B,n,originally thought to be a single vitamin but now separated into several B vitamins,symbol-code,short_seed,single-character lemma
oewn-do__2.42.01..,do,v,"be sufficient; be adequate, either in quality or quantity",lexical-word,short_seed,short token on the ordinary-word whitelist
oewn-k__1.10.00..,K,n,the 11th letter of the Roman alphabet,symbol-code,short_seed,single-character lemma
oewn-c__1.27.03..,C,n,a vitamin found in fresh fruits (especially citrus fruits) and vegetables; prevents scurvy,symbol-code,short_seed,single-character lemma
oewn-set__2.35.04..,set,v,"give a fine, sharp edge to a knife or razor",symbol-code,short_token,short token not on whitelist
oewn-toe__2.35.01..,toe,v,hit (a golf ball) with the toe of the club,symbol-code,short_token,short token not on whitelist
oewn-cog__1.18.00..,cog,n,a subordinate who performs an important but routine function,symbol-code,short_token,short token not on whitelist
oewn-xxx__1.23.00..,XXX,n,the cardinal number that is the product of ten and three,symbol-code,short_token,short upper/mixed-case token (code)
oewn-db__1.27.00..,Db,n,a transuranic element with atomic number 105,chemical,short_token,gloss: chemical substance/element cue
oewn-sub__2.40.00..,sub,v,be a substitute,symbol-code,short_token,short token not on whitelist
oewn-tip__1.15.01..,tip,n,the top or extreme point of something (usually a mountain or hill),symbol-code,short_token,short token not on whitelist
oewn-66__5.00.00.cardinal.00,66,a,being six more than sixty,symbol-code,short_token,short token not on whitelist
oewn-see__2.36.00..,see,v,imagine; conceive of; see in one's mind,symbol-code,short_token,short token not on whitelist
oewn-haw__2.32.00..,haw,v,utter ‘haw’,symbol-code,short_token,short token not on whitelist
oewn-day__1.28.04..,day,n,the recurring hours when you are not sleeping (especially those when you are working),symbol-code,short_token,short token not on whitelist
oewn-wen__1.26.00..,wen,n,a common cyst of the skin; filled with fatty matter (sebum) that is secreted by a sebaceous gland that has been blocked,symbol-code,short_token,short token not on whitelist
oewn-map__2.36.00..,map,v,make a map of; show or establish the features of details of,symbol-code,short_token,short token not on whitelist
oewn-gig__1.06.02..,gig,n,long and light rowing boat; especially for racing,symbol-code,short_token,short token not on whitelist
oewn-man__1.18.03..,man,n,a man who serves in the armed forces; a member of a military force,symbol-code,short_token,short token not on whitelist
oewn-tot__1.18.00..,tot,n,a young child who is just beginning to walk,symbol-code,short_token,short token not on whitelist
oewn-map__1.06.00..,map,n,a diagrammatic representation of the earth's surface (or part of it),symbol-code,short_token,short token not on whitelist
oewn-put__1.04.00..,put,n,the option to sell a given stock (or stock index or commodity future) at a given price before a given date,symbol-code,short_token,short token not on whitelist
oewn-pat__5.00.00.plausible.00,pat,a,having only superficial plausibility,symbol-code,short_token,short token not on whitelist
oewn-mud__1.27.00..,mud,n,water soaked soil; soft wet earth,symbol-code,short_token,short token not on whitelist
oewn-bwr__1.06.00..,BWR,n,a nuclear reactor that uses water as a coolant and moderator; the water boils in the reactor core and the steam produced can drive a steam turbine,symbol-code,short_token,short upper/mixed-case token (code)
oewn-sun__1.17.02..,sun,n,the star that is the source of light and heat for the planets in the solar system,symbol-code,short_token,short token not on whitelist
oewn-icy__5.00.00.frozen.00,icy,a,covered with or containing or consisting of ice,symbol-code,short_token,short token not on whitelist
oewn-rig__2.41.00..,rig,v,arrange the outcome of by means of deceit,symbol-code,short_token,short token not on whitelist
oewn-don__1.18.02..,don,n,teacher at a university or college (especially at Cambridge or Oxford),symbol-code,short_token,short token not on whitelist
oewn-sad__5.00.00.sorrowful.00,sad,a,of things that make you feel sad,symbol-code,short_token,short token not on whitelist
oewn-ci__5.00.00.cardinal.00,ci,a,being one more than one hundred,symbol-code,short_token,short token not on whitelist
oewn-off__4.02.04..,off,r,no longer on or in contact or attached,symbol-code,short_token,short token not on whitelist
oewn-kui__1.18.00..,Kui,n,a member of the Dravidian people living in southeastern India,symbol-code,short_token,"short titlecase token, not whitelisted"
oewn-ace__1.06.00..,ace,n,one of four playing cards in a deck having a single pip on its face,symbol-code,short_token,short token not on whitelist
oewn-hen__1.05.03..,hen,n,female of certain aquatic animals e.g. octopus or lobster,symbol-code,short_token,short token not on whitelist
oewn-lay__2.35.01..,lay,v,put into a certain place or abstract location,symbol-code,short_token,short token not on whitelist
