ic_id,primary_alias,aliases,decision,evidence_count,clean_candidate,admitted_clean,strict_lemma_seed,typed_sense_seed,resolver_id,longman,ogden,high_frequency,early_aoa,high_concreteness,frequency,age_of_acquisition,concreteness,sense_count,tag_counts,fired_rules,flags
ic:again,again,again,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.898527141458522,5.784780000000001,2.0,1,"{""lexical-word"": 1}",r_admit_lexical,
ic:back,back,back,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,6.302422401748658,5.3052150000000005,4.33,28,"{""lexical-word"": 28}",r_admit_lexical,
ic:body,body,body,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.290659961184746,4.28,4.79,12,"{""lexical-word"": 10, ""technical-term"": 2}",r_admit_lexical,
ic:bread,bread,bread,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.452002435102972,3.58,4.92,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:brush,brush,brush,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.150972439438991,3.78,4.54,15,"{""lexical-word"": 15}",r_admit_lexical,
ic:bucket,bucket,bucket,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.001104103120291,5.61,4.96,4,"{""lexical-word"": 4}",r_admit_lexical,
ic:butter,butter,butter,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.310118450570991,5.78,4.9,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:coat,coat,coat,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.623666186580708,3.58,4.97,6,"{""lexical-word"": 6}",r_admit_lexical,
ic:early,early,early,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.033064553169931,5.3052150000000005,2.25,9,"{""lexical-word"": 9}",r_admit_lexical,
ic:face,face,face,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.4605672710785385,3.75,4.87,22,"{""lexical-word"": 22}",r_admit_lexical,
ic:floor,floor,floor,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.002205406405222,4.44,4.8,12,"{""lexical-word"": 12}",r_admit_lexical,
ic:fruit,fruit,fruit,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.33676568829362,3.63,4.81,5,"{""lexical-word"": 5}",r_admit_lexical,
ic:full,full,full,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.221916775536831,4.24,3.59,13,"{""lexical-word"": 13}",r_admit_lexical,
ic:give,give,give,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,6.066788831224598,4.28,2.83,44,"{""lexical-word"": 43, ""technical-term"": 1}",r_admit_lexical,
ic:group,group,group,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.867368360464324,5.94,4.12,5,"{""lexical-word"": 4, ""technical-term"": 1}",r_admit_lexical,
ic:hand,hand,hand,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.4460450243514344,2.74,4.72,16,"{""lexical-word"": 16}",r_admit_lexical,
ic:head,head,head,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.569397518200379,3.42,4.75,42,"{""lexical-word"": 40, ""technical-term"": 2}",r_admit_lexical,
ic:hole,hole,hole,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.764590591461673,5.05,4.81,10,"{""lexical-word"": 10}",r_admit_lexical,
ic:horn,horn,horn,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.3236464134748305,4.84,5.0,12,"{""lexical-word"": 10, ""technical-term"": 2}",r_admit_lexical,
ic:knee,knee,knee,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,4.16689540553616,4.42,5.0,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:liquid,liquid,liquid,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,false,true,true,3.8895293280699725,5.83,4.72,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:money,money,money,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.806116190004838,5.11,4.54,3,"{""lexical-word"": 3}",r_admit_lexical,
ic:mother,mother,mother,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.680592329993564,2.63,4.6,7,"{""lexical-word"": 7}",r_admit_lexical,
ic:mouth,mouth,mouth,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.018235304247382,3.58,4.74,11,"{""lexical-word"": 11}",r_admit_lexical,
ic:music,music,music,admit,7,true,true,true,false,legacy_typed_sense_seed_pre_p2,true,true,true,true,true,5.180294460179846,3.81,4.31,5,"{""lexical-word"": 1, ""technical-term"": 4}",r_admit_lexical,
ic:open,open,open,admit,7,true,true,true,true,legacy_typed_sense_seed_pre_p2,true,true,true,true,false,5.505139348307253,5.0,3.21,35,"{""lexical-word"": 35}",r_admit_lexical,
