word,frequency
a,7.309359959310182
aa,3.2363168142946286
aaa,2.7068074901152777
aah,4.721424944367762
aahed,1.5928641378084412
aahing,1.7689553968641223
aahs,2.0699853925281033
aal,1.5928641378084412
aardvark,2.634256822966666
aargh,2.8233130591867153
aaron,4.165735740008921
aarrgh,1.5928641378084412
aarrghh,1.5928641378084412
aas,1.7689553968641223
ab,3.1726477344252513
aba,1.9908041464804787
abaca,1.5928641378084412
aback,2.4959541248003845
abacus,2.4057774944512964
abacuses,1.5928641378084412
abaddon,2.333226827302685
abaft,1.7689553968641223
abalone,2.7231979063034473
abalones,2.136932182158717
abandon,3.908834483265359
abandoned,4.123703916424962
abandoner,1.5928641378084412
abandoning,3.2313533947630786
abandonment,2.9908041464804787
abandons,2.4679254012001413
abase,1.8938941334724222
abastard,1.5928641378084412
abate,2.0699853925281033
abated,1.9908041464804787
abatement,1.8938941334724222
abates,1.7689553968641223
abating,1.5928641378084412
abattoir,2.1949241291364032
abay,1.8938941334724222
abb,1.8938941334724222
abba,2.29183414214446
abbas,2.0699853925281033
abbe,1.7689553968641223
abbess,1.7689553968641223
abbesses,1.5928641378084412
abbey,3.5040217465484176
abbot,2.9352868186306473
abbott,3.89606019522893
abbreviate,1.5928641378084412
abbreviated,2.522283063522734
abbreviation,2.4057774944512964
abbreviations,2.333226827302685
abby,4.096654820865623
abc,3.3887441551525166
abd,1.5928641378084412
abdicate,2.29183414214446
abdicated,2.1949241291364032
abdicates,1.5928641378084412
abdicating,1.8938941334724222
abdication,2.136932182158717
abdomen,3.527362589052009
abdomens,1.8938941334724222
abdominal,3.5348721908307543
abdominals,2.1949241291364032
abduct,2.860035866211455
abducted,3.7000741074563095
abductee,2.614053436878379
abductees,2.5705877430972888
abducting,2.522283063522734
abduction,3.5613470863623764
abductions,2.9253025977240465
abductor,2.5705877430972888
abductors,2.3710153881920846
abducts,2.2460766515837847
abeam,2.1949241291364032
abed,2.333226827302685
abel,3.130683232881715
abele,1.5928641378084412
abend,2.29183414214446
aberdeen,2.547106647247766
abernethy,1.5928641378084412
aberrant,2.4959541248003845
aberration,2.754232140043416
aberrations,2.2460766515837847
abet,2.0699853925281033
abetted,2.2460766515837847
abetting,2.7231979063034473
abettor,1.5928641378084412
abeyance,1.7689553968641223
abhor,2.4057774944512964
abhorred,2.1949241291364032
abhorrent,2.29183414214446
abhors,1.9908041464804787
abide,3.434848942398555
abided,1.8938941334724222
abiders,1.5928641378084412
abides,1.9908041464804787
abiding,2.7068074901152777
abigail,3.4821658403147513
abilene,3.130683232881715
abilities,3.7873784796909087
ability,4.2835031495244085
abiogenist,1.8938941334724222
abit,1.5928641378084412
abject,2.614053436878379
abjectly,1.8938941334724222
abjure,1.5928641378084412
ablate,1.5928641378084412
ablated,1.5928641378084412
ablation,1.5928641378084412
ablaze,2.634256822966666
able,5.203311359250563
abler,1.5928641378084412
ablest,1.7689553968641223
abloom,1.8938941334724222
ablution,1.8938941334724222
ablutions,1.9908041464804787
ably,2.29183414214446
abner,3.5298802452732554
abnormal,3.465020410556734
abnormalities,2.7068074901152777
abnormality,2.7231979063034473
abnormally,2.614053436878379
abnormity,1.5928641378084412
abo,2.136932182158717
aboard,4.425053598876954
abode,2.8233130591867153
abogado,1.7689553968641223
abolish,2.6897741508164974
abolished,2.614053436878379
abolishes,1.5928641378084412
abolishing,1.7689553968641223
abolition,2.333226827302685
abolitionism,1.5928641378084412
abolitionist,2.3710153881920846
abolitionists,2.437962177822698
abomasum,1.5928641378084412
abominable,2.8103480820223474
abominably,2.2460766515837847
abominate,1.8938941334724222
abomination,3.062686153786604
abominations,2.1949241291364032
aboriginal,2.29183414214446
aboriginally,1.5928641378084412
aboriginals,1.5928641378084412
aborigine,1.9908041464804787
aborigines,2.29183414214446
aborning,1.5928641378084412
abort,3.6647461451145666
aborted,2.8103480820223474
aborting,2.437962177822698
abortion,3.860035866211455
abortionist,1.9908041464804787
abortionists,1.5928641378084412
abortions,2.848136642911747
abortive,1.5928641378084412
abortively,1.5928641378084412
aborts,1.5928641378084412
abound,2.5705877430972888
abounded,1.8938941334724222
abounding,1.9908041464804787
abounds,2.333226827302685
about,6.559491539198379
abouts,2.2460766515837847
above,4.688730591286983
aboveboard,2.4679254012001413
aboveground,2.1949241291364032
abovementioned,1.5928641378084412
abracadabra,3.0242279019674285
abrade,1.5928641378084412
abraded,2.0699853925281033
abraham,3.715080016081268
abraid,1.5928641378084412
abrasion,2.5705877430972888
abrasions,3.0477089978169514
abrasive,2.672045383856066
abrasiveness,1.7689553968641223
abrasives,1.9908041464804787
abraxas,2.7689553968641225
abreaction,1.5928641378084412
abreast,2.7231979063034473
abridge,1.5928641378084412
abridged,2.29183414214446
abridgement,1.5928641378084412
abridging,1.7689553968641223
abroad,3.691507863625498
abrogate,1.5928641378084412
abrogated,1.7689553968641223
abrogating,1.5928641378084412
abrupt,3.062686153786604
abruption,2.136932182158717
abruptly,2.9545919738260342
abruptness,1.9908041464804787
abs,3.0321968316387036
abscam,1.8938941334724222
abscess,2.7068074901152777
abscessed,1.8938941334724222
abscesses,2.1949241291364032
abscond,2.0699853925281033
absconded,2.0699853925281033
absconder,1.5928641378084412
absconders,1.7689553968641223
absconding,1.8938941334724222
abseiling,1.5928641378084412
absence,3.801036664475563
absences,2.4679254012001413
absent,3.41240807335031
absentee,2.5705877430972888
absenteeism,2.0699853925281033
absentees,1.9908041464804787
absentia,2.29183414214446
absenting,1.7689553968641223
absentminded,1.8938941334724222
absentmindedness,1.5928641378084412
absinthe,2.754232140043416
absinthes,1.8938941334724222
absinthium,1.5928641378084412
absit,1.5928641378084412
absolute,4.053761980564989
absolutely,5.053009955300191
absoluteness,1.5928641378084412
absolutes,2.634256822966666
absolution,2.9820302221729738
absolutions,1.5928641378084412
absolve,2.7689553968641225
absolved,2.4959541248003845
absolver,1.9908041464804787
absolves,1.9908041464804787
absolving,2.0699853925281033
absorb,3.3004343139063774
absorbed,3.1894612334349013
absorbent,2.2460766515837847
absorber,1.8938941334724222
absorbers,2.2460766515837847
absorbing,2.672045383856066
absorbs,2.7068074901152777
absorbtion,1.8938941334724222
absorption,2.5705877430972888
absorptions,1.5928641378084412
abstain,2.7231979063034473
abstained,1.9908041464804787
